,nct_id,source,text,ner_manual_ct_target,ner_manual_ct_target_idx,ner_manual_ct_target_disease,ner_manual_ct_target_intervention
0,NCT00119561,OfficialTitle+BriefSummary,"Testing the Effectiveness of Telephone Support for Dementia Caregivers | The primary goal of the study is documentation of effectiveness of telephone support groups to reduce caregiver burden and stress. Caregivers who participate in intervention (Telephone Support) should experience lower levels of stress, burden and health care utilization (lower use of psychotropic drugs, fewer scheduled/unscheduled medical visits, lower rates of institutionalization, more efficient use of time in managing care recipient problems) compared to those caregivers in Usual Care.","[(29, 46, 'BEHAVIOURAL', 'Telephone Support'), (140, 157, 'BEHAVIOURAL', 'telephone support'), (196, 202, 'CONDITION', 'stress'), (248, 265, 'BEHAVIOURAL', 'Telephone Support'), (301, 307, 'CONDITION', 'stress'), (555, 565, 'CONTROL', 'Usual Care')]","[(29, 46), (140, 157), (196, 202), (248, 265), (301, 307), (555, 565)]","[(196, 202, 'CONDITION'), (301, 307, 'CONDITION')]","[(29, 46, 'BEHAVIOURAL'), (140, 157, 'BEHAVIOURAL'), (248, 265, 'BEHAVIOURAL'), (555, 565, 'CONTROL')]"
1,NCT04331392,OfficialTitle+BriefSummary,Remotely Delivered Environmental Enrichment Intervention for Traumatic Brain Injury: A Randomized Controlled Trial | This study will examine the behavioural and neurophysiological efficacy and feasibility of an online spatial navigation intervention for improving memory and brain health in individuals who have sustained moderate-severe traumatic brain injury.,"[(19, 43, 'OTHER', 'Environmental Enrichment'), (61, 83, 'CONDITION', 'Traumatic Brain Injury'), (211, 236, 'OTHER', 'online spatial navigation'), (322, 360, 'CONDITION', 'moderate-severe traumatic brain injury')]","[(19, 43), (61, 83), (211, 236), (322, 360)]","[(61, 83, 'CONDITION'), (322, 360, 'CONDITION')]","[(19, 43, 'OTHER'), (211, 236, 'OTHER')]"
2,NCT01544738,OfficialTitle+BriefSummary,"Aponeurotic Stimulation Effect on Parkinson Bradykinesia | Movement slowness (bradykinesia) is one of the main motor symptoms in Parkinson Disease (PD). Several studies have shown that patients with PD exhibit slowness because they are unable to modulate, in an optimal way, the velocity of voluntary motor acts not induced by external stimulation. Indeed, these patients have difficulties to integrate multi-sensorial information, mainly proprioception.

The investigators investigated changes in shoulder velocity during pointing movements by patients with PD after stimulation of soft tissues (aponeurosis) of upper limb muscles. The stimulation consisted of manipulating, with a hook (the diacutaneous fibrolysis method), the aponeurotic tissues enrobing the heads of the upper limb muscles. This technique has previously been shown to decrease passive tension and the tendon reflex response of the manipulated muscle group. The investigators hypothesis is that aponeurotic manipulation of shoulder muscles therefore creates a modification in the proprioceptive information, which in return temporarily decreases the bradykinesia of shoulder movements.","[(0, 23, 'OTHER', 'Aponeurotic Stimulation'), (34, 43, 'CONDITION', 'Parkinson'), (44, 56, 'CONDITION', 'Bradykinesia'), (59, 76, 'CONDITION', 'Movement slowness'), (78, 90, 'CONDITION', 'bradykinesia'), (129, 146, 'CONDITION', 'Parkinson Disease'), (148, 150, 'CONDITION', 'PD'), (199, 201, 'CONDITION', 'PD'), (559, 561, 'CONDITION', 'PD'), (568, 631, 'OTHER', 'stimulation of soft tissues (aponeurosis) of upper limb muscles'), (693, 716, 'OTHER', 'diacutaneous fibrolysis'), (966, 1010, 'OTHER', 'aponeurotic manipulation of shoulder muscles'), (1121, 1133, 'CONDITION', 'bradykinesia')]","[(0, 23), (34, 43), (44, 56), (59, 76), (78, 90), (129, 146), (148, 150), (199, 201), (559, 561), (568, 631), (693, 716), (966, 1010), (1121, 1133)]","[(34, 43, 'CONDITION'), (44, 56, 'CONDITION'), (59, 76, 'CONDITION'), (78, 90, 'CONDITION'), (129, 146, 'CONDITION'), (148, 150, 'CONDITION'), (199, 201, 'CONDITION'), (559, 561, 'CONDITION'), (1121, 1133, 'CONDITION')]","[(0, 23, 'OTHER'), (568, 631, 'OTHER'), (693, 716, 'OTHER'), (966, 1010, 'OTHER')]"
3,NCT03127514,OfficialTitle+BriefSummary,"Evaluation of the Safety, Tolerability, Efficacy and Activity of AMX0035, a Fixed Combination of Phenylbutyrate (PB) and Tauroursodeoxycholic Acid (TUDCA), for the Treatment of ALS | The CENTAUR trial was a 2:1 (active:placebo) randomized, double-blind, placebo-controlled Phase II trial to evaluate the safety and efficacy of AMX0035 for the treatment of ALS.","[(65, 72, 'DRUG', 'AMX0035'), (97, 111, 'DRUG', 'Phenylbutyrate'), (113, 115, 'DRUG', 'PB'), (121, 146, 'DRUG', 'Tauroursodeoxycholic Acid'), (148, 153, 'DRUG', 'TUDCA'), (177, 180, 'CONDITION', 'ALS'), (219, 226, 'CONTROL', 'placebo'), (254, 261, 'CONTROL', 'placebo'), (327, 334, 'DRUG', 'AMX0035'), (356, 359, 'CONDITION', 'ALS')]","[(65, 72), (97, 111), (113, 115), (121, 146), (148, 153), (177, 180), (219, 226), (254, 261), (327, 334), (356, 359)]","[(177, 180, 'CONDITION'), (356, 359, 'CONDITION')]","[(65, 72, 'DRUG'), (97, 111, 'DRUG'), (113, 115, 'DRUG'), (121, 146, 'DRUG'), (148, 153, 'DRUG'), (219, 226, 'CONTROL'), (254, 261, 'CONTROL'), (327, 334, 'DRUG')]"
4,NCT01308801,OfficialTitle+BriefSummary,"Benefice Assessment of Repetitive Transcranial Magnetic Stimulation Used as an Additional Procedure to Rehabilitation Exercises in Patients Suffering From Fibromyalgia | The purpose of this study is to determine the analgesic effectiveness of Repetitive Transcranial Magnetic Stimulation (rTMS) used as an additional procedure to rehabilitation exercises in patient suffering from fibromyalgia.

A double blind clinical trial with two randomized parallel groups:

Placebo rTMS and rehabilitation exercise
Active rTMS and rehabilitation exercise","[(23, 67, 'OTHER', 'Repetitive Transcranial Magnetic Stimulation'), (103, 127, 'PHYSICAL', 'Rehabilitation Exercises'), (155, 167, 'CONDITION', 'Fibromyalgia'), (243, 287, 'OTHER', 'Repetitive Transcranial Magnetic Stimulation'), (289, 293, 'OTHER', 'rTMS'), (330, 354, 'PHYSICAL', 'rehabilitation exercises'), (381, 393, 'CONDITION', 'fibromyalgia'), (464, 476, 'CONTROL', 'Placebo rTMS'), (481, 504, 'PHYSICAL', 'rehabilitation exercise'), (505, 516, 'OTHER', 'Active rTMS'), (521, 544, 'PHYSICAL', 'rehabilitation exercise')]","[(23, 67), (103, 127), (155, 167), (243, 287), (289, 293), (330, 354), (381, 393), (464, 476), (481, 504), (505, 516), (521, 544)]","[(155, 167, 'CONDITION'), (381, 393, 'CONDITION')]","[(23, 67, 'OTHER'), (103, 127, 'PHYSICAL'), (243, 287, 'OTHER'), (289, 293, 'OTHER'), (330, 354, 'PHYSICAL'), (464, 476, 'CONTROL'), (481, 504, 'PHYSICAL'), (505, 516, 'OTHER'), (521, 544, 'PHYSICAL')]"
5,NCT05301335,OfficialTitle+BriefSummary,Transformation of Dormant Spinal Networks to Mitigate Symptoms of Neurogenic Bladder | The purpose of this study is to evaluate the effectiveness and safety of SCONE neuromodulation therapy after 12 weeks of therapy in comparison to inactive sham control in improving symptoms of Neurogenic Lower Urinary Tract Dysfunction,"[(0, 41, 'OTHER', 'Transformation of Dormant Spinal Networks'), (66, 84, 'CONDITION', 'Neurogenic Bladder'), (160, 189, 'OTHER', 'SCONE neuromodulation therapy'), (233, 246, 'CONTROL', 'inactive sham'), (280, 322, 'CONDITION', 'Neurogenic Lower Urinary Tract Dysfunction')]","[(0, 41), (66, 84), (160, 189), (233, 246), (280, 322)]","[(66, 84, 'CONDITION'), (280, 322, 'CONDITION')]","[(0, 41, 'OTHER'), (160, 189, 'OTHER'), (233, 246, 'CONTROL')]"
6,NCT03900247,OfficialTitle+BriefSummary,"Restore Motor Function Through Robotic Arm Exoskeleton and Brain Computer Interface | The current project will aid patients with motor impairment to reduce the need for homecare. Specifically the aim is to develop and implement a robotic exoskeleton and brain computer interface to assist and eventually perform arm and hand movement in patients with the progressive neurodegenerative disease ALS. This proposal brings together state-of-the-art robotic technology, EEG-based brain computer interface (BCI) know-how, clinical expertise, patient perspective and industrial partners to develop and implement a robotic arm/hand device that will adapt, with increasing brain-computer control, based on the need of the patient. In short the BCI will measure electroencephalography (EEG) from the surface of the scalp and recognize signature EEG as the patient intents to move. As the patient loses muscle power the BCI robotic-device will gradually take over and support motor activity, even when the patient is totally paralyzed. As the device supports hand/arm function only, the investigators aim to address ADLs associated to hand function, specifically eating activities.","[(31, 54, 'OTHER', 'Robotic Arm Exoskeleton'), (59, 83, 'OTHER', 'Brain Computer Interface'), (129, 145, 'CONDITION', 'motor impairment'), (230, 249, 'OTHER', 'robotic exoskeleton'), (254, 278, 'OTHER', 'brain computer interface'), (393, 396, 'CONDITION', 'ALS'), (445, 463, 'OTHER', 'robotic technology'), (475, 499, 'OTHER', 'brain computer interface'), (501, 504, 'OTHER', 'BCI'), (607, 630, 'OTHER', 'robotic arm/hand device'), (735, 738, 'OTHER', 'BCI'), (909, 927, 'OTHER', 'BCI robotic-device'), (1014, 1023, 'CONDITION', 'paralyzed')]","[(31, 54), (59, 83), (129, 145), (230, 249), (254, 278), (393, 396), (445, 463), (475, 499), (501, 504), (607, 630), (735, 738), (909, 927), (1014, 1023)]","[(129, 145, 'CONDITION'), (393, 396, 'CONDITION'), (1014, 1023, 'CONDITION')]","[(31, 54, 'OTHER'), (59, 83, 'OTHER'), (230, 249, 'OTHER'), (254, 278, 'OTHER'), (445, 463, 'OTHER'), (475, 499, 'OTHER'), (501, 504, 'OTHER'), (607, 630, 'OTHER'), (735, 738, 'OTHER'), (909, 927, 'OTHER')]"
7,NCT03299335,OfficialTitle+BriefSummary,"Molecular Profile of the Evolution of Inclusion Body Myositis | This study aims at assessing the gene expression in the muscles of patients suffering from sporadic Inclusion Body Myositis (sIBM) at various stages of the disease, by comparison with muscles of control subject. The investigators use the RNA-seq technique to analyze the gene expression levels and potential alternate transcripts, including long non-coding RNAs (lncRNAs), in muscle tissue samples. The gene expression profiles will point to the genes of interest that can then become the object of future studies, in which epigenetic changes of these genes will be explored further. The value of those possible biomarkers will be assessed. The investigators will also evaluate the correlation between the gene expression profile, the degree of functional impairment, the histological picture and the presence or absence of autoantibodies.","[(38, 61, 'CONDITION', 'Inclusion Body Myositis'), (155, 187, 'CONDITION', 'sporadic Inclusion Body Myositis'), (189, 193, 'CONDITION', 'sIBM')]","[(38, 61), (155, 187), (189, 193)]","[(38, 61, 'CONDITION'), (155, 187, 'CONDITION'), (189, 193, 'CONDITION')]",[]
8,NCT04728295,OfficialTitle+BriefSummary,Evaluation of the Safety and Effectiveness of Bilateral Exablate Ablation of the Pallidothalamic Tract (PTT) for the Treatment of the Motor Complications of Parkinson's Disease (PD) | Evaluate the Safety and Effectiveness of Staged Bilateral Exablate Ablation of the Pallidothalamic Tract (PTT) for the Treatment of the Motor Complications of Parkinson's Disease (PD).,"[(46, 102, 'OTHER', 'Bilateral Exablate Ablation of the Pallidothalamic Tract'), (104, 107, 'OTHER', 'PTT'), (134, 153, 'CONDITION', 'Motor Complications'), (157, 176, 'CONDITION', ""Parkinson's Disease""), (178, 180, 'CONDITION', 'PD'), (232, 288, 'OTHER', 'Bilateral Exablate Ablation of the Pallidothalamic Tract'), (290, 293, 'OTHER', 'PTT'), (320, 339, 'CONDITION', 'Motor Complications'), (343, 362, 'CONDITION', ""Parkinson's Disease""), (364, 366, 'CONDITION', 'PD')]","[(46, 102), (104, 107), (134, 153), (157, 176), (178, 180), (232, 288), (290, 293), (320, 339), (343, 362), (364, 366)]","[(134, 153, 'CONDITION'), (157, 176, 'CONDITION'), (178, 180, 'CONDITION'), (320, 339, 'CONDITION'), (343, 362, 'CONDITION'), (364, 366, 'CONDITION')]","[(46, 102, 'OTHER'), (104, 107, 'OTHER'), (232, 288, 'OTHER'), (290, 293, 'OTHER')]"
9,NCT04096014,OfficialTitle+BriefSummary,"Late Evening and Early Morning Protein Supplement to Reduce Readmissions for Hepatic Encephalopathy | Readmission rates for patients with hepatic encephalopathy due to end stage liver disease are high. Hyperammonemia contributes significantly to encephalopathy and occurs because of impaired hepatic ureagenesis and increased skeletal muscle proteolysis. We propose a randomized, 6-month nutritional intervention in cirrhotic patients who have had at least 1 admission for hepatic encephalopathy within the last 6 months. We hypothesize that a combination of late evening and early morning protein supplement (Ensure Enlive) will decrease recurrent hepatic encephalopathy and consequent readmission rates by lowering skeletal muscle proteolysis and improved lean body mass.","[(31, 49, 'OTHER', 'Protein Supplement'), (77, 99, 'CONDITION', 'Hepatic Encephalopathy'), (138, 160, 'CONDITION', 'hepatic encephalopathy'), (202, 216, 'CONDITION', 'Hyperammonemia'), (246, 260, 'CONDITION', 'encephalopathy'), (283, 311, 'CONDITION', 'impaired hepatic ureagenesis'), (326, 353, 'CONDITION', 'skeletal muscle proteolysis'), (388, 412, 'OTHER', 'nutritional intervention'), (473, 495, 'CONDITION', 'hepatic encephalopathy'), (590, 608, 'OTHER', 'protein supplement'), (610, 623, 'OTHER', 'Ensure Enlive'), (649, 671, 'CONDITION', 'hepatic encephalopathy'), (717, 744, 'CONDITION', 'skeletal muscle proteolysis')]","[(31, 49), (77, 99), (138, 160), (202, 216), (246, 260), (283, 311), (326, 353), (388, 412), (473, 495), (590, 608), (610, 623), (649, 671), (717, 744)]","[(77, 99, 'CONDITION'), (138, 160, 'CONDITION'), (202, 216, 'CONDITION'), (246, 260, 'CONDITION'), (283, 311, 'CONDITION'), (326, 353, 'CONDITION'), (473, 495, 'CONDITION'), (649, 671, 'CONDITION'), (717, 744, 'CONDITION')]","[(31, 49, 'OTHER'), (388, 412, 'OTHER'), (590, 608, 'OTHER'), (610, 623, 'OTHER')]"
