tokens,ner_tags,id,nct_id,text,ner_manual_ct_target
"['Drug', 'Eluting', 'Stenting', 'and', 'Aggressive', 'Medical', 'Treatment', 'for', 'Preventing', 'Recurrent', 'Stroke', 'in', 'Intracranial', 'Atherosclerotic', 'Disease', 'Trial', ':', 'a', 'Prospective', ',', 'Randomized', ',', 'Open', '-', 'labelled', ',', 'Blinded', 'End', '-', 'point', 'Trial', '(', 'DREAM', '-', 'PRIDE', ')', '|', 'The', 'aim', 'of', 'DREAM', '-', 'PRIDE', 'is', 'to', 'evaluate', 'whether', 'implantation', 'of', 'drug', '-', 'eluting', 'stent', '(', 'DES', ')', 'combined', 'with', 'aggressive', 'medical', 'treatment', 'is', 'more', 'efficacious', 'in', 'prevention', 'of', '1', '-', 'year', 'stroke', 'recurrence', 'than', 'standard', 'medical', 'treatment', 'alone', 'for', 'symptomatic', 'intracranial', 'atherosclerotic', 'disease', '.']","['B-OTHER', 'I-OTHER', 'I-OTHER', 'O', 'B-OTHER', 'I-OTHER', 'I-OTHER', 'O', 'O', 'B-COND', 'I-COND', 'O', 'B-COND', 'I-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OTHER', 'I-OTHER', 'I-OTHER', 'I-OTHER', 'O', 'B-OTHER', 'O', 'O', 'O', 'B-OTHER', 'I-OTHER', 'I-OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'B-CTRL', 'I-CTRL', 'I-CTRL', 'O', 'B-COND', 'I-COND', 'I-COND', 'I-COND', 'O']",NCT04948749,NCT04948749,"Drug Eluting Stenting and Aggressive Medical Treatment for Preventing Recurrent Stroke in Intracranial Atherosclerotic Disease Trial: a Prospective, Randomized, Open-labelled, Blinded End-point Trial (DREAM-PRIDE) | The aim of DREAM-PRIDE is to evaluate whether implantation of drug-eluting stent (DES) combined with aggressive medical treatment is more efficacious in prevention of 1-year stroke recurrence than standard medical treatment alone for symptomatic intracranial atherosclerotic disease.","[(0, 21, 'OTHER', 'Drug Eluting Stenting'), (26, 54, 'OTHER', 'Aggressive Medical Treatment'), (70, 86, 'CONDITION', 'Recurrent Stroke'), (90, 126, 'CONDITION', 'Intracranial Atherosclerotic Disease'), (278, 296, 'OTHER', 'drug-eluting stent'), (298, 301, 'OTHER', 'DES'), (317, 345, 'OTHER', 'aggressive medical treatment'), (390, 407, 'CONDITION', 'stroke recurrence'), (422, 445, 'CONTROL', 'medical treatment alone'), (450, 498, 'CONDITION', 'symptomatic intracranial atherosclerotic disease')]"
"['An', 'Ascending', 'Multiple', 'Dose', 'Study', 'of', 'the', 'Safety', ',', 'Pharmacokinetics', '(', 'PK', ')', ',', 'and', 'Pharmacodynamics', '(', 'PD', ')', 'of', 'SAM-531', 'Administered', 'Orally', 'to', 'Healthy', 'Young', 'and', 'Elderly', 'Subjects', '|', 'To', 'assess', 'the', 'safety', 'and', 'tolerability', 'of', 'ascending', 'multiple', 'oral', 'doses', 'of', 'SAM-531', ',', 'an', 'investigational', 'drug', ',', 'in', 'healthy', 'young', 'adult', 'and', 'elderly', 'subjects', '.', 'To', 'assess', 'the', 'pharmacokinetics', '(', 'PK', ')', 'and', 'pharmacodynamics', '(', 'PD', ')', 'profiles', 'of', 'multiple', 'oral', 'doses', 'of', 'SAM-531', 'in', 'healthy', 'young', 'adult', 'and', 'elderly', 'subjects', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NCT00480818,NCT00480818,"An Ascending Multiple Dose Study of the Safety, Pharmacokinetics (PK), and Pharmacodynamics (PD) of SAM-531 Administered Orally to Healthy Young and Elderly Subjects | To assess the safety and tolerability of ascending multiple oral doses of SAM-531, an investigational drug, in healthy young adult and elderly subjects.To assess the pharmacokinetics (PK) and pharmacodynamics (PD) profiles of multiple oral doses of SAM-531 in healthy young adult and elderly subjects.","[(100, 107, 'DRUG', 'SAM-531'), (242, 249, 'DRUG', 'SAM-531'), (417, 424, 'DRUG', 'SAM-531')]"
"['Xuanwu', 'Hospital', 'Capital', 'Medical', 'University', '|', 'Fragile', 'brain', 'is', 'the', 'most', 'common', 'phenomenon', 'seen', 'in', 'the', 'patients', 'undergoing', 'CEA', '.', 'The', 'patients', 'with', 'fragile', 'brain', 'have', 'a', 'high', 'incidence', 'of', 'postoperative', 'brain', 'dysfunction', '.', 'This', 'study', 'intends', 'to', 'apply', 'EEG', 'monitoring', '(', 'Sedline', ')', 'to', 'CEA', 'to', 'investigate', 'whether', 'EEG', 'monitoring', 'can', 'reduce', 'the', 'incidence', 'of', 'postoperative', 'neurological', 'complications', 'in', 'CEA', 'patients', 'and', 'improve', 'their', 'prognosis', '.', '\n\n', '220', 'patients', 'with', 'CEA', 'were', 'randomly', 'divided', 'into', '2', 'groups', '.', 'Group', 'S', '[', 'Sedline', 'monitoring', '+', 'Transcranial', 'Doppler', '(', 'TCD', ')', '+', 'regional', 'cerebral', 'oxygen', 'saturation', '(', 'rS02)，n=110', ']', 'and', 'group', 'C', '[', 'Bispectral', 'index', '(', 'BIS)/Sedline', 'monitoring', '+', 'TCD', '+', 'rSO2,n=110', ']', ',', 'recording', 'intraoperative', 'and', 'postoperative', 'conditions', ',', 'neuropsychology', 'scale', 'assessment', ',', 'blood', 'examination', 'and', 'imaging', 'examination', '.', 'The', 'incidence', 'of', 'postoperative', 'neurological', 'complications', 'was', 'compared', 'between', 'the', 'two', 'groups', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NCT03622515,NCT03622515,"Xuanwu Hospital Capital Medical University | Fragile brain is the most common phenomenon seen in the patients undergoing CEA. The patients with fragile brain have a high incidence of postoperative brain dysfunction. This study intends to apply EEG monitoring (Sedline) to CEA to investigate whether EEG monitoring can reduce the incidence of postoperative neurological complications in CEA patients and improve their prognosis.

220 patients with CEA were randomly divided into 2 groups. Group S [Sedline monitoring + Transcranial Doppler (TCD) + regional cerebral oxygen saturation (rS02)，n=110] and group C [Bispectral index (BIS)/Sedline monitoring + TCD +rSO2,n=110], recording intraoperative and postoperative conditions, neuropsychology scale assessment, blood examination and imaging examination. The incidence of postoperative neurological complications was compared between the two groups.","[(45, 58, 'CONDITION', 'Fragile brain'), (121, 124, 'CONDITION', 'CEA'), (144, 157, 'CONDITION', 'fragile brain'), (272, 275, 'CONDITION', 'CEA'), (386, 389, 'CONDITION', 'CEA'), (447, 450, 'CONDITION', 'CEA')]"
"['Intravenous', 'Exenatide', 'Infusion', 'in', 'Critically', 'Ill', 'Patients', 'With', 'Acute', 'Brain', 'Injury', '|', 'The', 'purpose', 'of', 'this', 'study', 'is', 'to', 'assess', 'the', 'feasibility', 'of', 'exenatide', 'infusion', 'for', 'the', 'treatment', 'of', 'high', 'blood', 'sugars', 'following', 'acute', 'brain', 'injury', '.']","['O', 'B-DRUG', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'B-COND', 'I-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'I-COND', 'O', 'B-COND', 'I-COND', 'I-COND', 'O']",NCT02058940,NCT02058940,Intravenous Exenatide Infusion in Critically Ill Patients With Acute Brain Injury | The purpose of this study is to assess the feasibility of exenatide infusion for the treatment of high blood sugars following acute brain injury.,"[(12, 21, 'DRUG', 'Exenatide'), (34, 48, 'CONDITION', 'Critically Ill'), (63, 81, 'CONDITION', 'Acute Brain Injury'), (142, 151, 'DRUG', 'exenatide'), (182, 199, 'CONDITION', 'high blood sugars'), (210, 228, 'CONDITION', 'acute brain injury')]"
"['A', 'Randomized', 'Controlled', 'Trial', 'Utilizing', 'the', 'Arts', 'to', 'Improve', 'Health', ',', 'Resilience', ',', 'and', 'Well', '-', 'Being', 'in', 'Individuals', 'With', 'Chronic', 'Health', 'Conditions', 'in', 'Underserved', 'Neighborhoods', '|', 'This', 'is', 'an', '8', '-', 'week', 'randomized', 'controlled', 'trial', 'to', 'help', 'address', 'health', ',', 'resilience', ',', 'and', 'well', '-', 'being', '.', 'Participants', 'are', 'randomized', 'into', 'either', 'a', 'health', 'education', 'group', 'or', 'an', 'arts', '-', 'based', 'health', 'education', 'group', '.', 'Both', 'groups', 'will', 'attend', 'for', '8', 'weeks', 'and', 'various', 'study', 'assessments', 'will', 'be', 'conducted', 'in', 'order', 'to', 'measure', 'the', 'experience', 'and', 'impact', 'of', 'the', 'program', '.', 'Anyone', '18', 'years', 'and', 'older', 'with', 'a', 'chronic', 'health', 'condition', '(', 'for', 'example', ',', 'diabetes', ',', 'hypertension', ',', 'congestive', 'heart', 'failure', ',', 'chronic', 'obstructive', 'pulmonary', 'disorder', ',', 'asthma', ',', 'weight', ',', 'anxiety', ',', 'depression', ',', 'cardiac', ',', 'arthritis', ',', 'multiple', 'sclerosis', ',', 'and', 'many', 'more', ')', 'are', 'eligible', 'to', 'participate', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CTRL', 'I-CTRL', 'O', 'O', 'O', 'B-OTHER', 'I-OTHER', 'I-OTHER', 'I-OTHER', 'I-OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'B-COND', 'O', 'B-COND', 'I-COND', 'I-COND', 'O', 'B-COND', 'I-COND', 'I-COND', 'I-COND', 'O', 'B-COND', 'O', 'B-COND', 'O', 'B-COND', 'O', 'B-COND', 'O', 'B-COND', 'O', 'B-COND', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NCT04154579,NCT04154579,"A Randomized Controlled Trial Utilizing the Arts to Improve Health, Resilience, and Well-Being in Individuals With Chronic Health Conditions in Underserved Neighborhoods | This is an 8-week randomized controlled trial to help address health, resilience, and well-being. Participants are randomized into either a health education group or an arts-based health education group. Both groups will attend for 8 weeks and various study assessments will be conducted in order to measure the experience and impact of the program. Anyone 18 years and older with a chronic health condition (for example, diabetes, hypertension, congestive heart failure, chronic obstructive pulmonary disorder, asthma, weight, anxiety, depression, cardiac, arthritis, multiple sclerosis, and many more) are eligible to participate.","[(44, 48, 'OTHER', 'Arts'), (312, 328, 'CONTROL', 'health education'), (341, 368, 'OTHER', 'arts-based health education'), (594, 602, 'CONDITION', 'diabetes'), (604, 616, 'CONDITION', 'hypertension'), (618, 642, 'CONDITION', 'congestive heart failure'), (644, 682, 'CONDITION', 'chronic obstructive pulmonary disorder'), (684, 690, 'CONDITION', 'asthma'), (692, 698, 'CONDITION', 'weight'), (700, 707, 'CONDITION', 'anxiety'), (709, 719, 'CONDITION', 'depression'), (721, 728, 'CONDITION', 'cardiac'), (730, 739, 'CONDITION', 'arthritis'), (741, 759, 'CONDITION', 'multiple sclerosis')]"
"['Solian', 'Solution', 'to', 'Treat', 'Schizophrenic', 'Patients', 'During', 'an', 'Acute', 'Episode', '|', 'During', 'this', 'study', 'the', 'efficacy', 'and', 'safety', 'profile', 'will', 'be', 'evaluated', 'of', 'the', 'use', 'of', 'amisulpride', 'in', 'the', 'form', 'of', 'a', 'solution', 'in', 'schizophrenic', 'patients', 'with', 'an', 'acute', 'episode', '.', '\n\n', 'The', 'main', 'purpose', 'of', 'the', 'study', 'is', 'to', 'observe', 'the', 'anti', '-', 'psychotic', 'effect', 'of', 'amisulpride', 'as', 'a', 'solution', 'during', 'the', 'first', 'days', 'of', 'an', 'acute', 'episode', 'of', 'schizophrenia', '.']","['B-DRUG', 'I-DRUG', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'B-COND', 'O']",NCT00245674,NCT00245674,"Solian Solution to Treat Schizophrenic Patients During an Acute Episode | During this study the efficacy and safety profile will be evaluated of the use of amisulpride in the form of a solution in schizophrenic patients with an acute episode.

The main purpose of the study is to observe the anti-psychotic effect of amisulpride as a solution during the first days of an acute episode of schizophrenia.","[(0, 15, 'DRUG', 'Solian Solution'), (25, 38, 'CONDITION', 'Schizophrenic'), (58, 71, 'CONDITION', 'Acute Episode'), (156, 167, 'DRUG', 'amisulpride'), (197, 210, 'CONDITION', 'schizophrenic'), (228, 241, 'CONDITION', 'acute episode'), (317, 328, 'DRUG', 'amisulpride'), (371, 384, 'CONDITION', 'acute episode'), (388, 401, 'CONDITION', 'schizophrenia')]"
"['A', 'Phase', '2', ',', 'Multicenter', ',', 'Randomized', ',', 'Double', '-', 'Blind', ',', 'Placebo', '-', 'Controlled', ',', 'Parallel', '-', 'Group', 'Study', 'to', 'Evaluate', 'the', 'Efficacy', 'and', 'Safety', 'of', 'Z160', 'in', 'Subjects', 'With', 'Postherpetic', 'Neuralgia', '|', 'This', 'study', 'will', 'compare', 'Z160', 'and', 'placebo', 'in', 'patients', 'with', 'Postherpetic', 'Neuralgia', 'for', 'safety', 'and', 'efficacy', 'for', 'a', 'period', 'of', '6', 'weeks', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CTRL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'B-CTRL', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NCT01757873,NCT01757873,"A Phase 2, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Z160 in Subjects With Postherpetic Neuralgia | This study will compare Z160 and placebo in patients with Postherpetic Neuralgia for safety and efficacy for a period of 6 weeks.","[(50, 57, 'CONTROL', 'Placebo'), (130, 134, 'DRUG', 'Z160'), (152, 174, 'CONDITION', 'Postherpetic Neuralgia'), (201, 205, 'DRUG', 'Z160'), (210, 217, 'CONTROL', 'placebo'), (235, 257, 'CONDITION', 'Postherpetic Neuralgia')]"
"['An', 'Open', 'Label', 'Study', 'of', 'the', 'Effects', 'of', 'Eculizumab', 'in', 'Neuromyelitis', 'Optica', '|', 'The', 'purpose', 'of', 'this', 'study', 'is', 'to', 'determine', 'if', 'the', 'drug', 'eculizumab', 'reduces', 'the', 'attack', 'rate', 'and', 'improves', 'outcome', 'in', 'patients', 'with', 'neuromyelitis', 'optica', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'B-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'O']",NCT00904826,NCT00904826,An Open Label Study of the Effects of Eculizumab in Neuromyelitis Optica | The purpose of this study is to determine if the drug eculizumab reduces the attack rate and improves outcome in patients with neuromyelitis optica.,"[(38, 48, 'DRUG', 'Eculizumab'), (52, 72, 'CONDITION', 'Neuromyelitis Optica'), (129, 139, 'DRUG', 'eculizumab'), (202, 222, 'CONDITION', 'neuromyelitis optica')]"
"['A', 'Double', '-', 'blind', ',', 'Double', '-', 'dummy', ',', 'Randomised', ',', 'Placebo', '-', 'controlled', ',', 'Four', '-', 'way', 'Crossover', 'Study', 'to', 'Investigate', 'the', 'Effect', 'of', 'Single', 'Oral', 'Doses', 'of', 'SB-649868', 'and', 'of', 'Zolpidem', 'in', 'a', 'Model', 'of', 'Noise', 'Induced', 'Situational', 'Insomnia', 'in', 'Healthy', 'Male', 'Volunteers', '.', '|', 'Subjects', 'will', 'be', 'screened', 'within', '28', 'days', '.', 'Each', 'treatment', 'session', 'will', 'consist', 'of', '2', 'PSG', 'nights', ',', 'study', 'drug', 'administration', 'and', 'noise', 'model', 'is', 'conducted', 'on', 'second', 'night', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CTRL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'I-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NCT00440323,NCT00440323,"A Double-blind, Double-dummy, Randomised, Placebo-controlled,Four-way Crossover Study to Investigate the Effect of Single Oral Doses of SB-649868 and of Zolpidem in a Model of Noise Induced Situational Insomnia in Healthy Male Volunteers. | Subjects will be screened within 28 days. Each treatment session will consist of 2 PSG nights, study drug administration and noise model is conducted on second night.","[(42, 49, 'CONTROL', 'Placebo'), (136, 145, 'DRUG', 'SB-649868'), (153, 161, 'DRUG', 'Zolpidem'), (176, 210, 'CONDITION', 'Noise Induced Situational Insomnia')]"
"['Phase', 'I', 'Pre', '-', 'pilot', 'Open', '-', 'label', 'Clinical', 'Trial', 'of', 'Nabilone', 'for', 'Severe', 'Behavioural', 'Problems', '(', 'Aggression', ')', 'in', 'Adults', 'With', 'Intellectual', 'and', 'Developmental', 'Disabilities', '|', 'Innovative', 'treatments', 'are', 'urgently', 'needed', 'for', 'severe', 'behavioural', 'problems', '(', 'SBPs', ')', 'in', 'adults', 'with', 'intellectual', 'and', 'developmental', 'disabilities', '(', 'IDD', ')', '.', 'Although', 'a', 'synthetic', 'cannabinoid', ',', 'nabilone', 'may', 'be', 'a', 'plausible', 'and', 'safe', 'alternative', 'to', 'treat', 'SBP', ',', 'safety', 'and', 'efficacy', 'of', 'nabilone', 'in', 'people', 'with', 'IDD', 'has', 'never', 'been', 'evaluated', '.', 'The', 'investigators', 'propose', 'to', 'conduct', 'this', 'first', '-', 'ever', 'Phase', 'I', 'pre', '-', 'pilot', 'open', '-', 'label', 'clinical', 'trial', 'to', 'collect', 'data', 'on', 'the', 'tolerability', 'and', 'safety', 'profile', 'of', 'nabilone', 'in', 'adults', 'with', 'IDD', ',', 'and', 'explore', 'changes', 'in', 'SBP', 'pre-', 'and', 'post', '-', 'treatment', '.', 'The', 'results', 'will', 'inform', 'a', 'next', '-', 'stage', 'pilot', 'randomized', 'controlled', 'trial', ',', 'followed', 'by', 'a', 'fully', 'powered', 'trial', 'eventually', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'B-COND', 'I-COND', 'I-COND', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'I-COND', 'I-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'I-COND', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'B-COND', 'I-COND', 'I-COND', 'I-COND', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'B-DRUG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DRUG', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'B-COND', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NCT05273320,NCT05273320,"Phase I Pre-pilot Open-label Clinical Trial of Nabilone for Severe Behavioural Problems (Aggression) in Adults With Intellectual and Developmental Disabilities | Innovative treatments are urgently needed for severe behavioural problems (SBPs) in adults with intellectual and developmental disabilities (IDD). Although a synthetic cannabinoid, nabilone may be a plausible and safe alternative to treat SBP, safety and efficacy of nabilone in people with IDD has never been evaluated. The investigators propose to conduct this first-ever Phase I pre-pilot open-label clinical trial to collect data on the tolerability and safety profile of nabilone in adults with IDD, and explore changes in SBP pre- and post-treatment. The results will inform a next-stage pilot randomized controlled trial, followed by a fully powered trial eventually.","[(47, 55, 'DRUG', 'Nabilone'), (60, 87, 'CONDITION', 'Severe Behavioural Problems'), (89, 99, 'CONDITION', 'Aggression'), (116, 159, 'CONDITION', 'Intellectual and Developmental Disabilities'), (208, 235, 'CONDITION', 'severe behavioural problems'), (237, 241, 'CONDITION', 'SBPs'), (258, 301, 'CONDITION', 'intellectual and developmental disabilities'), (303, 306, 'CONDITION', 'IDD'), (330, 341, 'DRUG', 'cannabinoid'), (343, 351, 'DRUG', 'nabilone'), (401, 404, 'CONDITION', 'SBP'), (429, 437, 'DRUG', 'nabilone'), (453, 456, 'CONDITION', 'IDD'), (638, 646, 'DRUG', 'nabilone'), (662, 665, 'CONDITION', 'IDD'), (690, 693, 'CONDITION', 'SBP')]"
