,nct_id,source,text,ner_manual_ct_target,ner_manual_ct_target_idx,ner_manual_ct_target_disease,ner_manual_ct_target_intervention
0,NCT02632279,OfficialTitle+BriefSummary,"Tryptophan Depletion in Parkinson's Disease Patients Treated With Deep Brain Stimulation of the Subthalamic Nucleus: Effects on Mood and Motor Functions | The purpose of this study is to assess the effect of tryptophan depletion on mood and behavior in Parkinson's disease (PD) patients treated with deep brain stimulation (DBS) of the subthalamic nucleus (STN). By doing this, the investigators hope to be able to identify risk factors for and mechanisms underlying psychiatric side effects of STN DBS. The study will be an intervention study with a placebo controlled, randomized cross-over design.","[(0, 20, 'OTHER', 'Tryptophan Depletion'), (24, 43, 'CONDITION', ""Parkinson's Disease""), (66, 88, 'CONDITION', 'Deep Brain Stimulation'), (208, 228, 'OTHER', 'tryptophan depletion'), (253, 272, 'CONDITION', ""Parkinson's disease""), (274, 276, 'CONDITION', 'PD'), (300, 322, 'CONDITION', 'deep brain stimulation'), (324, 327, 'CONDITION', 'DBS'), (499, 502, 'CONDITION', 'DBS'), (551, 558, 'CONTROL', 'placebo')]","[(0, 20), (24, 43), (66, 88), (208, 228), (253, 272), (274, 276), (300, 322), (324, 327), (499, 502), (551, 558)]","[(24, 43, 'CONDITION'), (66, 88, 'CONDITION'), (253, 272, 'CONDITION'), (274, 276, 'CONDITION'), (300, 322, 'CONDITION'), (324, 327, 'CONDITION'), (499, 502, 'CONDITION')]","[(0, 20, 'OTHER'), (208, 228, 'OTHER'), (551, 558, 'CONTROL')]"
1,NCT05018234,OfficialTitle+BriefSummary,Safety Monitoring for a Novel 3D Printed Mandibular Advancement Device | The purpose of this study is to evaluate the safety profile of the novel oral appliance (OA )device and to assess patient comfort of the novel OA device.,"[(30, 70, 'OTHER', '3D Printed Mandibular Advancement Device'), (146, 160, 'OTHER', 'oral appliance'), (162, 164, 'OTHER', 'OA'), (216, 225, 'OTHER', 'OA device')]","[(30, 70), (146, 160), (162, 164), (216, 225)]",[],"[(30, 70, 'OTHER'), (146, 160, 'OTHER'), (162, 164, 'OTHER'), (216, 225, 'OTHER')]"
2,NCT04426123,OfficialTitle+BriefSummary,"Masseter Myofascial Pain Relief Following an Intra-muscular Injection With Botulinum Toxin Type A: A Randomized Double-blind Controlled Multicenter Pilot Study | Investigating the effect of a single intramuscular injection with botulinum toxin (BTX) compared to NaCl in patients with jaw muscle myalgia.

This investigation is designed as an double blind multicenter pilot study for hypothesis generation on 48 patients with chronic jaw muscle myalgia at four specialist dental clinics. The subjects visit the clinic on 3 predefined occasions, one telephone call and one scheduled evaluation by mail.

The objective is primarily to evaluate the change in number of days with pain at two months following one session of BTX injections of the masseter and temporalis muscles in subjects with jaw muscle myalgia pain.

The outcome of this study will serve as a basis for a later randomized controlled trial","[(75, 97, 'DRUG', 'Botulinum Toxin Type A'), (228, 243, 'DRUG', 'botulinum toxin'), (245, 248, 'DRUG', 'BTX'), (262, 266, 'DRUG', 'NaCl'), (284, 302, 'CONDITION', 'jaw muscle myalgia'), (425, 451, 'CONDITION', 'chronic jaw muscle myalgia'), (719, 722, 'DRUG', 'BTX'), (790, 808, 'CONDITION', 'jaw muscle myalgia')]","[(75, 97), (228, 243), (245, 248), (262, 266), (284, 302), (425, 451), (719, 722), (790, 808)]","[(284, 302, 'CONDITION'), (425, 451, 'CONDITION'), (790, 808, 'CONDITION')]","[(75, 97, 'DRUG'), (228, 243, 'DRUG'), (245, 248, 'DRUG'), (262, 266, 'DRUG'), (719, 722, 'DRUG')]"
3,NCT03973203,OfficialTitle+BriefSummary,"The Effect of Niacin Supplementation on Systemic Nicotinamide Adenine Dinucleotide (NAD+) Metabolism, Physiology and Muscle Performance in Healthy Controls and Mitochondrial Myopathy Patients | The most frequent form of adult-onset mitochondrial disorders is mitochondrial myopathy, often manifesting with progressive external ophthalmoplegia (PEO), progressive muscle weakness and exercise intolerance. Mitochondrial myopathy is often caused by single heteroplasmic mitochondrial DNA (mtDNA) deletions or multiple mtDNA deletions, the former being sporadic and latter caused by mutations in nuclear-encoded proteins of mtDNA maintenance. Currently, no curative treatment exists for this disease. The investigators have previously observed that supplementation with an NAD+ precursor vitamin B3, nicotinamide riboside, prevented and delayed disease symptoms by increasing mitochondrial biogenesis in a mouse model for mitochondrial myopathy. Vitamin B3 exists in several forms: nicotinic acid (niacin), nicotinamide, and nicotinamide riboside, and it has been demonstrated to give power to diseased mitochondria in animal studies by increasing intracellular levels of NAD+, the important cofactor required for the cellular energy metabolism.

In this study, the form of vitamin B3, niacin, was used to activate dysfunctional mitochondria and to rescue signs of mitochondrial myopathy. Of the vitamin B3 forms, niacin, is employed, because it has been used in large doses to treat hypercholesterolemia patients, and has a proven safety record in humans. Phenotypically similar mitochondrial myopathy patients are studied, as the investigator's previous expertise indicates that similar presenting phenotypes predict uniform physiological and clinical responses to interventions, despite varying genetic backgrounds. Patients either with sporadic single mtDNA deletions or a mutation in a Twinkle gene causing multiple mtDNA deletions were recruited. In addition, for every patient, two gender- and age-matched healthy controls are recruited. Clinical examinations and collection of muscle biopsies are performed at the time points 0, 4 and 10 months (patients) or at 0 and 4 months (controls). Fasting blood samples are collected every second week until 4 months and thereafter every six weeks until the end of the study. The effects of niacin on disease markers, muscle mitochondrial biogenesis, muscle strength and the metabolism of the whole body are studied in patients and healthy controls.

The hypothesis is that an NAD+ precursor, niacin, will increase intracellular NAD+ levels, improve mitochondrial biogenesis and alleviate the symptoms of mitochondrial myopathy in humans.","[(14, 20, 'DRUG', 'Niacin'), (160, 182, 'CONDITION', 'Mitochondrial Myopathy'), (259, 281, 'CONDITION', 'mitochondrial myopathy'), (404, 426, 'CONDITION', 'Mitochondrial myopathy'), (918, 940, 'CONDITION', 'mitochondrial myopathy'), (978, 992, 'DRUG', 'nicotinic acid'), (994, 1000, 'DRUG', 'niacin'), (1282, 1288, 'DRUG', 'niacin'), (1361, 1383, 'CONDITION', 'mitochondrial myopathy'), (1410, 1416, 'DRUG', 'niacin'), (1576, 1598, 'CONDITION', 'mitochondrial myopathy'), (2336, 2342, 'DRUG', 'niacin'), (2538, 2544, 'DRUG', 'niacin'), (2650, 2672, 'CONDITION', 'mitochondrial myopathy')]","[(14, 20), (160, 182), (259, 281), (404, 426), (918, 940), (978, 992), (994, 1000), (1282, 1288), (1361, 1383), (1410, 1416), (1576, 1598), (2336, 2342), (2538, 2544), (2650, 2672)]","[(160, 182, 'CONDITION'), (259, 281, 'CONDITION'), (404, 426, 'CONDITION'), (918, 940, 'CONDITION'), (1361, 1383, 'CONDITION'), (1576, 1598, 'CONDITION'), (2650, 2672, 'CONDITION')]","[(14, 20, 'DRUG'), (978, 992, 'DRUG'), (994, 1000, 'DRUG'), (1282, 1288, 'DRUG'), (1410, 1416, 'DRUG'), (2336, 2342, 'DRUG'), (2538, 2544, 'DRUG')]"
4,NCT00423943,OfficialTitle+BriefSummary,"Modafinil for Treatment of Cognitive Dysfunction in Schizophrenia | Patients with schizophrenia have problems in thinking, known as cognitive dysfunction. This appears to be responsible for their difficulties in social and occupational functioning. One particular cognitive function that may be important for schizophrenia is called context processing. This refers to the ability to properly use information in the environment to guide thinking and behavior so that it is appropriate to the present circumstance. Problems with this function may explain why patients with schizophrenia think and act in unusual ways, and often have problems managing aspects of their lives that healthy adults take for granted. This cognitive function depends on a region of the brain called the prefrontal cortex, which shows impaired function in schizophrenia as well. Unfortunately, the biochemical aspects of this dysfunction are presently unknown, and it is not clear whether current psychiatric medications can improve this function. A recent FDA-approved medication that may improve this function is modafinil. Studies in animals and healthy adults show that this medication can improve cognitive functions which are related to context processing. We plan to study the effects of modafinil on context processing and the brain activity that underlies this function. We will use functional MRI and electrophysiology to examine the effects of modafinil, both after a single dose and after sustained (4 week) treatment. We predict that when patients receive modafinil they will perform better on cognitive tests and have improved activity in the regions of the brain that are responsible for these cognitive processes.","[(0, 9, 'DRUG', 'Modafinil'), (27, 48, 'CONDITION', 'Cognitive Dysfunction'), (52, 65, 'CONDITION', 'Schizophrenia'), (82, 95, 'CONDITION', 'schizophrenia'), (132, 153, 'CONDITION', 'cognitive dysfunction'), (309, 322, 'CONDITION', 'schizophrenia'), (571, 584, 'CONDITION', 'schizophrenia'), (1089, 1098, 'DRUG', 'modafinil'), (1269, 1278, 'DRUG', 'modafinil'), (1429, 1438, 'DRUG', 'modafinil'), (1543, 1552, 'DRUG', 'modafinil')]","[(0, 9), (27, 48), (52, 65), (82, 95), (132, 153), (309, 322), (571, 584), (1089, 1098), (1269, 1278), (1429, 1438), (1543, 1552)]","[(27, 48, 'CONDITION'), (52, 65, 'CONDITION'), (82, 95, 'CONDITION'), (132, 153, 'CONDITION'), (309, 322, 'CONDITION'), (571, 584, 'CONDITION')]","[(0, 9, 'DRUG'), (1089, 1098, 'DRUG'), (1269, 1278, 'DRUG'), (1429, 1438, 'DRUG'), (1543, 1552, 'DRUG')]"
5,NCT04849026,OfficialTitle+BriefSummary,"A Randomized, Open Label, Multiple-dose, 2-way Crossover, Phase I Study to Compare the Safety and Pharmacokinetics Profile of WID-CLZ18 and Clozaril 100 mg Tablet (Clozapine) After Oral Administration in Schizophrenia Patients | This clinical study is a randomized, open label, multiple-dose, 2-way crossover, phase I (Bioequivalence) study to compare the safety and pharmacokinetics profile of WID-CLZ18 and Clozaril 100 mg tablet (Clozapine) after oral administration in schizophrenia patients.","[(126, 135, 'DRUG', 'WID-CLZ18'), (140, 148, 'DRUG', 'Clozaril'), (164, 173, 'DRUG', 'Clozapine'), (204, 217, 'CONDITION', 'Schizophrenia'), (395, 404, 'DRUG', 'WID-CLZ18'), (409, 417, 'DRUG', 'Clozaril'), (433, 442, 'DRUG', 'Clozapine'), (473, 486, 'CONDITION', 'schizophrenia')]","[(126, 135), (140, 148), (164, 173), (204, 217), (395, 404), (409, 417), (433, 442), (473, 486)]","[(204, 217, 'CONDITION'), (473, 486, 'CONDITION')]","[(126, 135, 'DRUG'), (140, 148, 'DRUG'), (164, 173, 'DRUG'), (395, 404, 'DRUG'), (409, 417, 'DRUG'), (433, 442, 'DRUG')]"
6,NCT01966172,OfficialTitle+BriefSummary,"Multimodal Opiate-sparing Analgesia Versus Traditional Opiate Based Analgesia After Cardiac Surgery, a Randomized Controlled Trial | To test if multimodal analgesia with different analgesic medication offer better pain relief, lesser side effects and is safe compared to conventionel opiod analgesia after cardiac surgery.","[(0, 35, 'OTHER', 'Multimodal Opiate-sparing Analgesia'), (43, 77, 'OTHER', 'Traditional Opiate Based Analgesia'), (84, 99, 'CONDITION', 'Cardiac Surgery'), (144, 164, 'OTHER', 'multimodal analgesia'), (271, 299, 'OTHER', 'conventionel opiod analgesia'), (306, 321, 'CONDITION', 'cardiac surgery')]","[(0, 35), (43, 77), (84, 99), (144, 164), (271, 299), (306, 321)]","[(84, 99, 'CONDITION'), (306, 321, 'CONDITION')]","[(0, 35, 'OTHER'), (43, 77, 'OTHER'), (144, 164, 'OTHER'), (271, 299, 'OTHER')]"
7,NCT02724865,OfficialTitle+BriefSummary,"A Comparison Between Two Different Oral Appliance Therapies: Somnodent vs Herbst Appliance in Patients With Mild and Moderate OSA | Obstructive sleep apnea (OSA) is a common chronic sleep disorder that often requires lifelong care. The prevalence in the Netherlands is estimated around 300.000 patients. Due to longer life expectancy and increase in weight in the general population, its prevalence is expected to rise. Patients with mild and moderate OSA are treated primarily with an oral appliance at present time. Different oral appliances are available, but most used is the mandibular advancement device (MAD). This study focuses on two different types of MAD: the classic Herbst appliance, which is attached to the mandible and the maxilla and has an iron bar to regulate the open space; and the Somnodent, which consists of two separate splints, fixed on the mandible and the maxilla, but has no iron bar attached.","[(35, 59, 'OTHER', 'Oral Appliance Therapies'), (61, 70, 'OTHER', 'Somnodent'), (74, 90, 'OTHER', 'Herbst Appliance'), (108, 129, 'CONDITION', 'Mild and Moderate OSA'), (132, 155, 'CONDITION', 'Obstructive sleep apnea'), (157, 160, 'CONDITION', 'OSA'), (434, 455, 'CONDITION', 'mild and moderate OSA'), (486, 500, 'OTHER', 'oral appliance'), (528, 543, 'OTHER', 'oral appliances'), (580, 609, 'OTHER', 'mandibular advancement device'), (611, 614, 'OTHER', 'MAD'), (662, 665, 'OTHER', 'MAD'), (679, 695, 'OTHER', 'Herbst appliance'), (803, 812, 'OTHER', 'Somnodent')]","[(35, 59), (61, 70), (74, 90), (108, 129), (132, 155), (157, 160), (434, 455), (486, 500), (528, 543), (580, 609), (611, 614), (662, 665), (679, 695), (803, 812)]","[(108, 129, 'CONDITION'), (132, 155, 'CONDITION'), (157, 160, 'CONDITION'), (434, 455, 'CONDITION')]","[(35, 59, 'OTHER'), (61, 70, 'OTHER'), (74, 90, 'OTHER'), (486, 500, 'OTHER'), (528, 543, 'OTHER'), (580, 609, 'OTHER'), (611, 614, 'OTHER'), (662, 665, 'OTHER'), (679, 695, 'OTHER'), (803, 812, 'OTHER')]"
8,NCT04897347,OfficialTitle+BriefSummary,Postural Control Intervention With the Robotic Trunk-Support-Trainer (TruST) in Children With Cerebral Palsy: A Randomized Controlled Trial | The purpose of this study is to test the efficacy of a motor learning-based postural and reaching control intervention delivered with the robotic Trunk-Support-Trainer (TruST) compared to the same motor learning-based intervention delivered with Static Trunk Support Equipment in children with cerebral palsy (CP) classified as III and IV with the Gross Motor Function Classification System (GMFCS).,"[(39, 68, 'PHYSICAL', 'Robotic Trunk-Support-Trainer'), (70, 75, 'PHYSICAL', 'TruST'), (94, 108, 'CONDITION', 'Cerebral Palsy'), (197, 260, 'PHYSICAL', 'motor learning-based postural and reaching control intervention'), (288, 309, 'PHYSICAL', 'Trunk-Support-Trainer'), (311, 316, 'PHYSICAL', 'TruST'), (339, 372, 'PHYSICAL', 'motor learning-based intervention'), (388, 418, 'PHYSICAL', 'Static Trunk Support Equipment'), (436, 450, 'CONDITION', 'cerebral palsy'), (452, 454, 'CONDITION', 'CP')]","[(39, 68), (70, 75), (94, 108), (197, 260), (288, 309), (311, 316), (339, 372), (388, 418), (436, 450), (452, 454)]","[(94, 108, 'CONDITION'), (436, 450, 'CONDITION'), (452, 454, 'CONDITION')]","[(39, 68, 'PHYSICAL'), (70, 75, 'PHYSICAL'), (197, 260, 'PHYSICAL'), (288, 309, 'PHYSICAL'), (311, 316, 'PHYSICAL'), (339, 372, 'PHYSICAL'), (388, 418, 'PHYSICAL')]"
9,NCT05563402,OfficialTitle+BriefSummary,"""Evaluation of Usability and Safety of the Self-balancing Walking System Atalante in Patients With Multiple Sclerosis"" | Multiple sclerosis (MS) is the most prevalent chronic inflammatory disease of the central nervous system (CNS), affecting more than 2 million people worldwide,1 it is a degenerative disease that selectively affects the central nervous system and represents the main cause of non-traumatic disability in young adults.

Gait and balance disturbances in MS are common even in the early stages of the disease. Half of the patients report some alteration in the quality of walking within the first month after diagnosis, reaching 90% after 10 years of evolution. 4 5 In addition, it is the symptom to which patients give the most importance 6 and the one that most conditions their activity and participation. 7 The causes of gait disturbance are multifactorial and are influenced by different aspects such as muscle strength, balance, coordination, proprioception, vision, spasticity, fatigue and even cognitive aspects4.

There are multiple interventions, including aerobic, resistance training, yoga, and combined exercise, that have shown significant improvements in walking endurance, regardless of outcome measures (six-minute walking test (6MWT), two-minute walking test 2MWT). 8

In recent years, evidence has been growing around rehabilitation with robotic equipment in people with multiple sclerosis (PwMS), in their study Ye et al. concluded that robotic locomotor training has limited impact on motor functions in multiple sclerosis, but improves fatigue and spasticity, is safe and well-tolerated for PwMS, and less demanding for physical therapists.10 Bowman et al. concluded that robot-assisted gait therapy (RAGT) improves balance and gait outcomes in a clinically significant way in PwMS, RAGT appears more effective compared to non-specific rehabilitation, while showing similar effects compared to non-specific rehabilitation. specific balance and gait training in studies with level 2 evidence. RAGT has several advantages in terms of patient motor assistance, training intensity, safety and the possibility of combining other therapeutic approaches and should be promoted for PwMS with disability in a multimodal rehabilitation setting as an opportunity to maximize recovery.11 In this setting, more larger-scale and better-designed studies with longer training duration and more studies evaluating satisfaction, usability, and effectiveness are needed. of RAGT.","[(43, 81, 'PHYSICAL', 'Self-balancing Walking System Atalante'), (99, 117, 'CONDITION', 'Multiple Sclerosis'), (121, 139, 'CONDITION', 'Multiple sclerosis'), (141, 143, 'CONDITION', 'MS'), (472, 474, 'CONDITION', 'MS'), (1407, 1425, 'CONDITION', 'multiple sclerosis'), (1474, 1500, 'PHYSICAL', 'robotic locomotor training'), (1711, 1738, 'PHYSICAL', 'robot-assisted gait therapy'), (1740, 1744, 'PHYSICAL', 'RAGT'), (1822, 1826, 'PHYSICAL', 'RAGT'), (2031, 2035, 'PHYSICAL', 'RAGT'), (2494, 2498, 'PHYSICAL', 'RAGT')]","[(43, 81), (99, 117), (121, 139), (141, 143), (472, 474), (1407, 1425), (1474, 1500), (1711, 1738), (1740, 1744), (1822, 1826), (2031, 2035), (2494, 2498)]","[(99, 117, 'CONDITION'), (121, 139, 'CONDITION'), (141, 143, 'CONDITION'), (472, 474, 'CONDITION'), (1407, 1425, 'CONDITION')]","[(43, 81, 'PHYSICAL'), (1474, 1500, 'PHYSICAL'), (1711, 1738, 'PHYSICAL'), (1740, 1744, 'PHYSICAL'), (1822, 1826, 'PHYSICAL'), (2031, 2035, 'PHYSICAL'), (2494, 2498, 'PHYSICAL')]"
